file,function,start_line,end_line,nloc,ccn,token,params,length,radon_grade,radon_cc,bug_label
python-calistus,monotonic,24,,,12,,,,C,12,
python-calistus,max_area_brute,70,,,4,,,,A,4,
python-calistus,rotate_array,49,,,3,,,,A,3,
python-calistus,max_area_optimum,83,,,3,,,,A,3,
python-calistus,square_num,10,,,2,,,,A,2,
python-calistus,area,73,,,5,,,,A,5,
python-calistus,max_min_diff,28,,,2,,,,A,2,
python-calistus,area,47,,,1,,,,A,1,
python-calistus,baseball_game,4,,,5,,,,A,5,
python-calistus,calculate,12,,,4,,,,A,4,
python-calistus,isprime,51,,,4,,,,A,4,
python-calistus,fibonaci_even,37,,,3,,,,A,3,
python-calistus,fizzBuzz,1,,,8,,,,B,8,
python-calistus,maximum,135,,,4,,,,A,4,
python-calistus,count_str,213,,,4,,,,A,4,
python-calistus,filter_ge_6,176,,,3,,,,A,3,
python-calistus,count_str,201,,,3,,,,A,3,
python-calistus,remove_duplicates,226,,,3,,,,A,3,
python-calistus,maximum,123,,,2,,,,A,2,
python-calistus,multi,150,,,2,,,,A,2,
python-calistus,map_longest,162,,,2,,,,A,2,
python-calistus,factorial,187,,,2,,,,A,2,
python-calistus,function,248,,,2,,,,A,2,
python-calistus,is_palindrome,269,,,2,,,,A,2,
python-calistus,remove_duplicates,235,,,1,,,,A,1,
python-calistus,is_distinct,242,,,1,,,,A,1,
python-calistus,function,256,,,1,,,,A,1,
python-calistus,file_gen,8,,,3,,,,A,3,
python-calistus,enum,26,,,2,,,,A,2,
python-calistus,dayname,40,,,1,,,,A,1,
python-calistus,brackets,122,,,6,,,,B,6,
python-calistus,is_leap,11,,,4,,,,A,4,
python-calistus,check_isomorphic,42,,,7,,,,B,7,
python-calistus,target_value,7,,,6,,,,B,6,
python-calistus,target_value_hash,22,,,3,,,,A,3,
python-calistus,sort_list,25,,,1,,,,A,1,
python-calistus,checkloop,183,,,8,,,,B,8,
python-calistus,add_2_numbers,255,,,8,,,,B,8,
python-calistus,delete_duplicates,134,,,4,,,,A,4,
python-calistus,get_duplicate,233,,,4,,,,A,4,
python-calistus,print_list,144,,,2,,,,A,2,
python-calistus,reverse_linked_list,164,,,2,,,,A,2,
python-calistus,link_nodes,300,,,1,,,,A,1,
python-calistus,fibonacci,30,,,3,,,,A,3,
python-calistus,power_sum,56,,,3,,,,A,3,
python-calistus,fibonacci,8,,,2,,,,A,2,
python-calistus,fibonacci,18,,,2,,,,A,2,
python-calistus,solution,27,,,8,,,,B,8,
python-calistus,draw_rating,42,,,5,,,,A,5,
python-calistus,search_matrix,62,,,8,,,,B,8,
python-calistus,left_index,12,,,6,,,,B,6,
python-calistus,right_index,31,,,6,,,,B,6,
python-calistus,start_end_sorted_array,6,,,1,,,,A,1,
python-calistus,bubble_sort,5,,,6,,,,B,6,
python-calistus,merge_sorted_array,64,,,6,,,,B,6,
python-calistus,selection_sort,48,,,5,,,,A,5,
python-calistus,insertion_sort,30,,,4,,,,A,4,
python-calistus,merge_sort,83,,,2,,,,A,2,
python-calistus,postfix,117,,,3,,,,A,3,
python-calistus,string_type,361,,,11,,,,C,11,
python-calistus,search_rotation,201,,,8,,,,B,8,
python-calistus,non_repeat,43,,,6,,,,B,6,
python-calistus,anagrams,148,,,6,,,,B,6,
python-calistus,non_repeat,29,,,5,,,,A,5,
python-calistus,non_repeat,56,,,5,,,,A,5,
python-calistus,binary_search,175,,,5,,,,A,5,
python-calistus,minion_game,266,,,5,,,,A,5,
python-calistus,merge_the_tools,288,,,5,,,,A,5,
python-calistus,compress_string,231,,,4,,,,A,4,
python-calistus,repeat,11,,,3,,,,A,3,
python-calistus,palindrome,76,,,3,,,,A,3,
python-calistus,palindrome,91,,,3,,,,A,3,
python-calistus,palindrome,105,,,3,,,,A,3,
python-calistus,max_substr,122,,,3,,,,A,3,
python-calistus,swap_case,312,,,3,,,,A,3,
python-calistus,count_substring,331,,,3,,,,A,3,
python-calistus,parse1,187,,,2,,,,A,2,
python-calistus,parse2,191,,,2,,,,A,2,
python-calistus,parse3,195,,,2,,,,A,2,
python-calistus,accuracy,19,,,3,,,,A,3,
python-calistus,compress_string,2,,,4,,,,A,4,
python-calistus,brackets,29,,,6,,,,B,6,
python-calistus,compress_string,155,,,4,,,,A,4,
python-calistus,link_nodes,88,,,1,,,,A,1,
python-calistus,minion_game,67,,,5,,,,A,5,
python-calistus,merge_the_tools,88,,,5,,,,A,5,
python-calistus,rotate_array,15,,,3,,,,A,3,
python-calistus,score_words,54,,,3,,,,A,3,
python-calistus,swap_case,108,,,3,,,,A,3,
python-calistus,string_type,29,,,11,,,,C,11,
python-calistus,swap_case,1,,,3,,,,A,3,
python-calistus,count_substring,13,,,3,,,,A,3,
python-calistus,right_view,284,,,7,,,,B,7,
python-calistus,left_view,304,,,7,,,,B,7,
python-calistus,level_order_traversal,251,,,6,,,,B,6,
python-calistus,invert_iterative,329,,,5,,,,A,5,
python-calistus,invert_recursive,347,,,2,,,,A,2,
